クエリ,クリック数,表示回数,CTR,平均掲載順位
ジビエ,0,1,0.0000,5.00
ジビエ料理,0,1,0.0000,8.00
ジビエ料理 和歌山,0,1,0.0000,8.00
ステーキ,0,1,0.0000,2.00
ステーキ 和歌山,0,47,0.0000,23.70
ステーキ 和歌山市,0,4,0.0000,23.75
ステーキランチ 和歌山市,0,2,0.0000,25.00
ステーキ和歌山,0,3,0.0000,21.00
ステーキ和歌山市,0,1,0.0000,21.00
スペアリブ,0,1,0.0000,4.00
ダイニングバー,0,3,0.0000,9.00
チーズミート,0,1,0.0000,1.00
テイクアウト ポテト,0,1,0.0000,5.00
テイクアウト 和歌山,0,2,0.0000,56.50
ディナー,0,4,0.0000,16.00
ディナー 和歌山,0,1,0.0000,3.00
ディナー 近く,0,2,0.0000,14.50
ドリンクバー ランチ 近く,0,1,0.0000,11.00
ドリンクバー 近く,0,1,0.0000,6.00
ドリンクバーがある店,0,1,0.0000,56.00
ドリンクバーのある店,0,1,0.0000,16.00
ハンバーグ,0,2,0.0000,13.00
バル 和歌山,0,2,0.0000,6.00
バー 近く,0,1,0.0000,12.00
ピザ ランチ,0,3,0.0000,21.67
ピザ 人気店,0,1,0.0000,37.00
ピザ 和歌山,0,25,0.0000,9.80
ピザ 和歌山市,0,12,0.0000,10.50
ピザ 飲み屋,0,1,0.0000,5.00
ピザが美味しい店,0,1,0.0000,19.00
ピザ和歌山,0,7,0.0000,8.71
ピザ屋さん,0,1,0.0000,11.00
ピザ食べたい時,0,1,0.0000,29.00
フォルテワジマ ランチ,0,12,0.0000,8.67
フォルテワジマ レストラン,0,14,0.0000,11.43
フォルテワジマ 周辺 ランチ,0,3,0.0000,8.67
ホットペッパーグルメ,0,11,0.0000,4.82
ホットペッパーグルメ 予約確認,0,2,0.0000,9.00
ポテト,0,6,0.0000,7.17
ミートアンドミート,0,1,0.0000,4.00
ミートキッチン,0,2,0.0000,1.00
ミートパトラ,0,1,0.0000,3.00
ランチ,0,27,0.0000,20.48
ランチ 400m 以内,0,1,0.0000,5.00
ランチ おすすめ,0,4,0.0000,24.50
ランチ おすすめ 近く,0,1,0.0000,39.00
ランチ お肉,0,1,0.0000,27.00
ランチ ゆっくり できる,0,1,0.0000,93.00
ランチ アルコール,0,1,0.0000,17.00
ランチ ステーキ,0,1,0.0000,15.00
ランチ 周辺,0,3,0.0000,15.67
ランチ 和歌山,0,30,0.0000,53.10
ランチ 和歌山 おすすめ,0,2,0.0000,50.00
ランチ 和歌山市,0,51,0.0000,58.10
ランチ 和歌山市 おしゃれ,0,1,0.0000,83.00
ランチ 和歌山市 おすすめ,0,1,0.0000,39.00
ランチ 安くて美味しい,0,1,0.0000,1.00
ランチ 近く,0,11,0.0000,25.45
ランチ 近く 現在営業中,0,1,0.0000,66.00
ランチ、近く,0,1,0.0000,6.00
ランチおすすめ,0,1,0.0000,14.00
ランチの店,0,1,0.0000,43.00
ランチ和歌山,0,8,0.0000,44.12
ランチ和歌山市,0,6,0.0000,43.33
ランチ和歌山市人気,0,3,0.0000,69.67
ランチ安い,0,1,0.0000,82.00
ランチ安くて美味しい店,0,1,0.0000,55.00
ランチ肉料理,0,1,0.0000,8.00
ランチ近く,0,2,0.0000,52.00
ローストビーフ ランチ,0,1,0.0000,3.00
ローストビーフ 近く,0,1,0.0000,8.00
ローストビーフ丼,0,4,0.0000,8.75
ローストビーフ有名店,0,1,0.0000,3.00
二次会 和歌山,0,1,0.0000,17.00
六十谷 ランチ おしゃれ,0,1,0.0000,29.00
周辺 ご飯,0,1,0.0000,12.00
周辺 ご飯屋さん,0,1,0.0000,23.00
周辺 ディナー,0,1,0.0000,2.00
周辺 ランチ,0,2,0.0000,96.50
周辺 飲食店,0,1,0.0000,7.00
周辺ご飯,0,1,0.0000,41.00
周辺のディナー,0,1,0.0000,29.00
周辺のランチ,0,1,0.0000,19.00
周辺の飲食店,0,1,0.0000,10.00
周辺グルメ,0,1,0.0000,19.00
周辺ディナー,0,2,0.0000,5.00
周辺ランチ,0,4,0.0000,37.00
周辺レストラン,0,1,0.0000,8.00
和歌山 bar,0,2,0.0000,55.50
和歌山 おしゃれ ディナー,0,4,0.0000,14.00
和歌山 おすすめ グルメ,0,7,0.0000,32.29
和歌山 おすすめランチ,0,3,0.0000,49.33
和歌山 おばんざいランチ,0,1,0.0000,66.00
和歌山 お昼ご飯 おすすめ,0,1,0.0000,86.00
和歌山 お肉,0,2,0.0000,43.50
和歌山 からあげ,0,1,0.0000,28.00
和歌山 ご飯 おすすめ,0,4,0.0000,35.00
和歌山 とんかつ,0,7,0.0000,54.86
和歌山 ぶら くり 丁 グルメ,0,6,0.0000,10.17
和歌山 カフェ おしゃれ,0,1,0.0000,129.00
和歌山 グルメ おすすめ,0,1,0.0000,28.00
和歌山 サラダバー,0,2,0.0000,11.00
和歌山 ジビエ料理,0,1,0.0000,8.00
和歌山 ステーキ,0,36,0.0000,26.33
和歌山 ステーキ ランチ,0,4,0.0000,28.25
和歌山 ステーキ ランチ 人気,0,2,0.0000,26.50
和歌山 ステーキランキング,0,2,0.0000,24.00
和歌山 テイクアウト 人気,0,1,0.0000,38.00
和歌山 テイクアウト 夜,0,1,0.0000,36.00
和歌山 ディナー,0,21,0.0000,13.19
和歌山 ディナー おしゃれ,0,3,0.0000,13.67
和歌山 ディナー おすすめ,0,4,0.0000,25.00
和歌山 トンカツ,0,1,0.0000,39.00
和歌山 ハンバーグ,0,2,0.0000,21.50
和歌山 ハンバーグ ランキング,0,2,0.0000,17.50
和歌山 バル,0,4,0.0000,4.50
和歌山 バー,0,2,0.0000,86.00
和歌山 ピザ,0,58,0.0000,11.71
和歌山 ランチ,0,74,0.0000,54.93
和歌山 ランチ おしゃれ,0,2,0.0000,84.50
和歌山 ランチ おすすめ,0,12,0.0000,52.50
和歌山 ランチ ランキング,0,6,0.0000,37.00
和歌山 ランチ 予約,0,1,0.0000,32.00
和歌山 ラーメン ランキング,0,4,0.0000,73.00
和歌山 二次会,0,3,0.0000,17.67
和歌山 人気 ランチ,0,1,0.0000,48.00
和歌山 医大 周辺 ランチ,0,1,0.0000,55.00
和歌山 名物 ランチ,0,1,0.0000,75.00
和歌山 夕食 おすすめ,0,4,0.0000,18.25
和歌山 夜カフェ,0,1,0.0000,70.00
和歌山 宴会,0,1,0.0000,45.00
和歌山 市 ランチ,0,1,0.0000,39.00
和歌山 日赤 周辺 ランチ,0,2,0.0000,22.00
和歌山 昼飲み おすすめ,0,3,0.0000,42.67
和歌山 洋食,0,7,0.0000,30.29
和歌山 洋食 ランチ,0,3,0.0000,47.33
和歌山 洋食屋,0,1,0.0000,27.00
和歌山 焼き鳥 おしゃれ,0,1,0.0000,77.00
和歌山 焼肉 ランキング,0,1,0.0000,67.00
和歌山 焼肉 人気 ランキング,0,1,0.0000,50.00
和歌山 県立 美術館 ランチ,0,1,0.0000,33.00
和歌山 美味しいランチ,0,10,0.0000,32.40
和歌山 肉,0,6,0.0000,25.33
和歌山 肉 ランチ,0,4,0.0000,12.00
和歌山 肉 ランチ おすすめ,0,7,0.0000,14.14
和歌山 肉料理,0,5,0.0000,14.00
和歌山 肉料理 ディナー,0,7,0.0000,6.43
和歌山 肉料理 ランチ,0,2,0.0000,22.50
和歌山 遅くまでやってる飲食店,0,1,0.0000,50.00
和歌山おすすめランチ,0,2,0.0000,47.50
和歌山ご飯おすすめ,0,2,0.0000,33.00
和歌山とんかつ,0,3,0.0000,57.67
和歌山イオン近く ランチ,0,2,0.0000,21.00
和歌山インター 近く ランチ,0,1,0.0000,35.00
和歌山カフェ おしゃれ,0,1,0.0000,137.00
和歌山グルメ ランチ,0,2,0.0000,31.50
和歌山ジビエ,0,1,0.0000,25.00
和歌山ステーキ,0,5,0.0000,26.40
和歌山ステーキランチ,0,3,0.0000,25.00
和歌山テイクアウト,0,1,0.0000,17.00
和歌山ディナー,0,7,0.0000,11.14
和歌山ディナー 安い,0,4,0.0000,27.50
和歌山ピザ,0,20,0.0000,13.20
和歌山ピザ 有名,0,1,0.0000,22.00
和歌山ピザ 美味しい,0,7,0.0000,8.57
和歌山ピザ屋,0,3,0.0000,18.00
和歌山ミートアップフェア,0,17,0.0000,6.94
和歌山ランチ,0,98,0.0000,50.98
和歌山ランチ おしゃれ,0,1,0.0000,83.00
和歌山ランチ ゆっくり できる,0,4,0.0000,53.75
和歌山ランチ 人気,0,4,0.0000,52.25
和歌山ランチ 美味しい,0,2,0.0000,27.50
和歌山ランチおすすめ,0,18,0.0000,60.72
和歌山ランチランキング,0,3,0.0000,13.67
和歌山ラーメン おすすめ,0,1,0.0000,61.00
和歌山ラーメン 人気ランキング,0,4,0.0000,51.00
和歌山人気ランチ,0,2,0.0000,67.00
和歌山国体道路 ランチ,0,1,0.0000,88.00
和歌山城ホール 周辺 ランチ,0,3,0.0000,33.67
和歌山市 24時間 営業 飲食店,0,6,0.0000,2.17
和歌山市 500円ランチ,0,90,0.0000,7.60
和歌山市 おしゃれ ディナー,0,5,0.0000,12.80
和歌山市 おすすめ グルメ,0,2,0.0000,27.50
和歌山市 おすすめランチ,0,1,0.0000,77.00
和歌山市 お弁当 おしゃれ,0,2,0.0000,50.00
和歌山市 ご飯屋さん,0,1,0.0000,2.00
和歌山市 とんかつ,0,6,0.0000,46.67
和歌山市 カフェ ゆっくり,0,3,0.0000,119.00
和歌山市 カフェ ランチ,0,1,0.0000,130.00
和歌山市 グルメ ランキング,0,3,0.0000,50.33
和歌山市 サラダバー,0,1,0.0000,17.00
和歌山市 ステーキ ランチ,0,9,0.0000,22.22
和歌山市 ステーキ 安い,0,2,0.0000,19.00
和歌山市 テイクアウト,0,2,0.0000,145.00
和歌山市 テイクアウト 人気,0,4,0.0000,36.00
和歌山市 テイクアウト 夕食,0,1,0.0000,25.00
和歌山市 テイクアウト 高級,0,1,0.0000,45.00
和歌山市 ディナー おすすめ,0,2,0.0000,31.00
和歌山市 ハンバーグ ランチ,0,2,0.0000,25.00
和歌山市 ハンバーグの美味しい 店,0,1,0.0000,9.00
和歌山市 バル,0,5,0.0000,4.20
和歌山市 バー,0,3,0.0000,63.00
和歌山市 ランチ おすすめ,0,4,0.0000,75.50
和歌山市 ランチ ゆっくり できる,0,28,0.0000,46.04
和歌山市 ランチ ボリューム,0,1,0.0000,58.00
和歌山市 ランチ ランキング,0,1,0.0000,39.00
和歌山市 ランチ 人気,0,22,0.0000,47.73
和歌山市 ランチ 人気 ランキング,0,68,0.0000,22.63
和歌山市 ランチ 安い,0,1,0.0000,87.00
和歌山市 ランチ 安い 美味しい,0,13,0.0000,68.23
和歌山市 ランチ 洋食,0,1,0.0000,34.00
和歌山市 ランチ 現在営業中,0,1,0.0000,66.00
和歌山市 ランチ 美味しい,0,6,0.0000,44.67
和歌山市 ランチ 高評価,0,3,0.0000,39.00
和歌山市 ラーメン ランキング,0,2,0.0000,49.50
和歌山市 レストラン ランキング,0,1,0.0000,30.00
和歌山市 ワインバー,0,1,0.0000,16.00
和歌山市 二次会,0,1,0.0000,17.00
和歌山市 土曜日 ランチ,0,4,0.0000,50.50
和歌山市 夜 ご飯 おしゃれ,0,3,0.0000,26.67
和歌山市 夜 ご飯 おしゃれ 安い,0,12,0.0000,21.25
和歌山市 夜 ご飯 カップル,0,2,0.0000,25.50
和歌山市 夜 ご飯 女子会,0,9,0.0000,15.89
和歌山市 夜ご飯 安い,0,1,0.0000,54.00
和歌山市 女子会 ディナー,0,7,0.0000,6.14
和歌山市 安く て美味しいランチ,0,6,0.0000,30.50
和歌山市 安くて美味しいランチ,0,1,0.0000,53.00
和歌山市 昼飲み,0,4,0.0000,71.75
和歌山市 昼飲みできる店,0,1,0.0000,31.00
和歌山市 洋食,0,12,0.0000,27.58
和歌山市 洋食 ディナー,0,3,0.0000,43.00
和歌山市 洋食 ランチ,0,3,0.0000,67.67
和歌山市 洋食屋,0,4,0.0000,43.50
和歌山市 洋食屋 ランキング,0,2,0.0000,36.50
和歌山市 深夜営業 飲食店,0,4,0.0000,8.00
和歌山市 焼肉 ランキング,0,1,0.0000,84.00
和歌山市 焼肉 ランチ,0,1,0.0000,84.00
和歌山市 焼肉屋 ランキング,0,3,0.0000,70.67
和歌山市 結婚式 二次会,0,17,0.0000,18.53
和歌山市 美味しい 洋食屋さん,0,1,0.0000,17.00
和歌山市 美味しいランチ,0,4,0.0000,32.75
和歌山市 肉バル,0,1,0.0000,1.00
和歌山市 肉料理,0,18,0.0000,11.44
和歌山市 自然食 ランチ,0,1,0.0000,56.00
和歌山市 食べログ,0,1,0.0000,8.00
和歌山市 食事,0,3,0.0000,26.00
和歌山市 食事 おすすめ,0,2,0.0000,28.50
和歌山市 魚 ランチ,0,1,0.0000,109.00
和歌山市おすすめランチ,0,1,0.0000,49.00
和歌山市ご飯屋さん,0,7,0.0000,28.71
和歌山市で美味しいランチ,0,1,0.0000,40.00
和歌山市とんかつ,0,8,0.0000,34.62
和歌山市とんかつ屋,0,2,0.0000,43.00
和歌山市ぶらくり丁ランチ,0,2,0.0000,17.50
和歌山市カフェ人気,0,1,0.0000,107.00
和歌山市グルメランキング,0,1,0.0000,49.00
和歌山市ステーキ,0,14,0.0000,20.21
和歌山市ステーキランチ,0,7,0.0000,23.43
和歌山市ディナー,0,34,0.0000,13.32
和歌山市ディナー人気,0,2,0.0000,37.50
和歌山市ハンバーグの美味しい店,0,8,0.0000,6.88
和歌山市バー,0,3,0.0000,55.67
和歌山市ピザ,0,36,0.0000,10.17
和歌山市ピザ屋,0,4,0.0000,9.25
和歌山市ランチ,0,137,0.0000,54.14
和歌山市ランチ おしゃれ,0,6,0.0000,94.33
和歌山市ランチ ゆっくり できる,0,12,0.0000,47.92
和歌山市ランチ ボリューム,0,6,0.0000,35.67
和歌山市ランチ 人気,0,1,0.0000,45.00
和歌山市ランチランキング,0,7,0.0000,50.86
和歌山市ランチ人気,0,30,0.0000,57.97
和歌山市ランチ人気 高評価,0,1,0.0000,48.00
和歌山市ラーメンランキング,0,2,0.0000,110.00
和歌山市人気ランチ,0,2,0.0000,60.00
和歌山市内 ランチ,0,14,0.0000,32.29
和歌山市内 ランチ おすすめ,0,2,0.0000,8.00
和歌山市内 ランチ 人気,0,4,0.0000,28.50
和歌山市内ランチ,0,2,0.0000,27.00
和歌山市内ランチ人気,0,1,0.0000,76.00
和歌山市土曜日ランチ,0,1,0.0000,41.00
和歌山市役所周辺 ランチ,0,4,0.0000,39.75
和歌山市昼飲みできる店,0,1,0.0000,50.00
和歌山市本町 ランチ,0,10,0.0000,7.30
和歌山市洋食,0,7,0.0000,30.43
和歌山市洋食ランチ,0,1,0.0000,47.00
和歌山市洋食屋,0,8,0.0000,36.50
和歌山市洋食屋さん,0,1,0.0000,35.00
和歌山市焼肉ランチ,0,1,0.0000,64.00
和歌山市美味しいランチ,0,1,0.0000,39.00
和歌山市肉料理,0,3,0.0000,11.67
和歌山市食事,0,9,0.0000,12.56
和歌山市駅 お店,0,1,0.0000,10.00
和歌山市駅 ご飯,0,1,0.0000,69.00
和歌山市駅 キーノ 飲食店,0,2,0.0000,17.50
和歌山市駅 グルメ,0,17,0.0000,22.47
和歌山市駅 ディナー,0,1,0.0000,10.00
和歌山市駅 ランチ,0,6,0.0000,40.50
和歌山市駅 ランチ おすすめ,0,1,0.0000,31.00
和歌山市駅 ランチ 安い 美味しい,0,1,0.0000,69.00
和歌山市駅 周辺 ランチ,0,1,0.0000,27.00
和歌山市駅 夜 ご飯 おすすめ,0,1,0.0000,60.00
和歌山市駅 夜 ご飯 安い,0,1,0.0000,74.00
和歌山市駅 夜ご飯,0,1,0.0000,38.00
和歌山市駅 昼飲み,0,2,0.0000,47.00
和歌山市駅 晩御飯,0,2,0.0000,44.50
和歌山市駅 焼肉,0,3,0.0000,23.00
和歌山市駅 食事,0,2,0.0000,15.00
和歌山市駅 飲食店,0,8,0.0000,18.88
和歌山市駅グルメ,0,2,0.0000,12.50
和歌山市駅ランチ,0,2,0.0000,15.00
和歌山市駅周辺 グルメ,0,2,0.0000,19.50
和歌山市駅周辺 ランチ,0,8,0.0000,27.38
和歌山市駅周辺 ランチ おすすめ,0,1,0.0000,33.00
和歌山市駅周辺ランチ,0,3,0.0000,22.00
和歌山市駅近くの飲食店,0,1,0.0000,34.00
和歌山市駅近くランチ,0,2,0.0000,8.00
和歌山市駅飲食店,0,6,0.0000,14.33
和歌山昼飲み,0,3,0.0000,55.00
和歌山洋食,0,1,0.0000,23.00
和歌山焼肉 ランキング,0,1,0.0000,37.00
和歌山焼肉ランチ,0,1,0.0000,105.00
和歌山県 とんかつ ランキング,0,1,0.0000,18.00
和歌山県立近代美術館 ランチ,0,1,0.0000,49.00
和歌山美味しいランチ,0,7,0.0000,33.71
和歌山肉,0,2,0.0000,35.50
和歌山肉ランチ,0,6,0.0000,14.17
和歌山食べログ,0,1,0.0000,3.00
和歌山駅 バル,0,3,0.0000,4.00
和歌山駅 バー,0,1,0.0000,58.00
和歌山駅 ピザ,0,5,0.0000,14.80
和歌山駅 ランチ おしゃれ,0,1,0.0000,60.00
和歌山駅 ランチ ゆっくり できる,0,5,0.0000,46.20
和歌山駅 洋食,0,2,0.0000,43.00
和歌山駅周辺 ランチ おしゃれ,0,4,0.0000,39.25
国体道路 ランチ,0,1,0.0000,37.00
夜ご飯,0,2,0.0000,5.00
夜ご飯 お肉,0,1,0.0000,1.00
女子 ディナー,0,1,0.0000,5.00
女子会,0,1,0.0000,4.00
安い ランチ,0,1,0.0000,31.00
持ち帰り 和歌山,0,1,0.0000,63.00
昼ご飯,0,1,0.0000,7.00
昼の定食,0,1,0.0000,4.00
昼ランチ,0,2,0.0000,8.50
昼ランチおすすめ,0,1,0.0000,14.00
昼飲み 和歌山,0,3,0.0000,49.33
最寄りのディナー,0,1,0.0000,10.00
最寄りのランチ,0,1,0.0000,114.00
本町 バル,0,1,0.0000,1.00
松風 バー,0,1,0.0000,7.00
洋食,0,4,0.0000,31.00
洋食 ランチ,0,1,0.0000,63.00
洋食 和歌山,0,7,0.0000,28.71
洋食 和歌山市,0,7,0.0000,34.14
洋食レストラン,0,1,0.0000,40.00
洋食居酒屋,0,1,0.0000,12.00
洋食屋,0,3,0.0000,19.67
洋食屋 和歌山市,0,3,0.0000,36.33
深夜まで空いてる飲食店,0,1,0.0000,11.00
深夜営業,0,1,0.0000,6.00
焼肉 和歌山 ランチ,0,1,0.0000,75.00
焼肉ランチ,0,1,0.0000,76.00
焼肉ランチ 和歌山,0,3,0.0000,94.00
焼肉丼,0,1,0.0000,29.00
焼肉昼ランチ,0,1,0.0000,71.00
美味しいランチ 和歌山市,0,2,0.0000,59.50
肉 居酒屋,0,1,0.0000,13.00
肉 飲食店,0,2,0.0000,6.00
肉カフェ,0,1,0.0000,1.00
肉ダイニング,0,1,0.0000,1.00
肉バル,0,9,0.0000,3.78
肉バル 和歌山,0,8,0.0000,1.12
肉料理,0,1,0.0000,7.00
肉料理店,0,1,0.0000,22.00
肉食堂,0,1,0.0000,12.00
近く ご飯,0,5,0.0000,14.60
近く ご飯 400m 以内,0,1,0.0000,2.00
近く ディナー,0,2,0.0000,8.00
近く バー,0,2,0.0000,39.00
近く ピザ,0,1,0.0000,2.00
近く 飲食店,0,3,0.0000,4.67
近く 飲食店 ランチ,0,1,0.0000,19.00
近くご飯,0,1,0.0000,4.00
近くの ご飯 屋さん ディナー,0,1,0.0000,5.00
近くの 美味しい ランチ,0,2,0.0000,22.00
近くのお酒飲める店,0,1,0.0000,52.00
近くのご飯,0,12,0.0000,7.75
近くのご飯 現在営業中,0,2,0.0000,10.50
近くのご飯やさん,0,5,0.0000,20.80
近くのご飯屋,0,1,0.0000,10.00
近くのとんかつ屋,0,1,0.0000,47.00
近くのカフェ,0,1,0.0000,16.00
近くのディナー,0,3,0.0000,64.00
近くのハンバーグ,0,2,0.0000,19.50
近くのハンバーグ屋さん,0,1,0.0000,1.00
近くのバー,0,6,0.0000,13.33
近くのピザ,0,3,0.0000,6.33
近くのピザの店,0,2,0.0000,3.00
近くのピザ屋,0,4,0.0000,7.50
近くのランチ,0,35,0.0000,19.03
近くのランチ お肉,0,3,0.0000,7.33
近くのランチ 人気,0,1,0.0000,9.00
近くのランチ 現在営業中,0,1,0.0000,30.00
近くのランチ 現在営業中 800m 以内,0,1,0.0000,16.00
近くのランチ 高評価,0,1,0.0000,21.00
近くのラーメン 現在営業中,0,1,0.0000,13.00
近くの夜カフェ,0,1,0.0000,21.00
近くの洋食屋,0,1,0.0000,30.00
近くの美味しいランチ,0,1,0.0000,6.00
近くの食べ物屋さん,0,1,0.0000,4.00
近くの食事,0,2,0.0000,7.50
近くの飲食店,0,17,0.0000,11.94
近くの飲食店 400m 以内,0,1,0.0000,19.00
近くの飲食店 現在営業中,0,3,0.0000,13.00
近くピザ屋,0,2,0.0000,6.50
近くランチ,0,5,0.0000,36.20
食べログ和歌山,0,2,0.0000,8.00
食べ物,0,2,0.0000,15.00
食べ物屋,0,1,0.0000,24.00
飲食,0,1,0.0000,35.00
飲食店,0,8,0.0000,2.75
飲食店肉,0,1,0.0000,6.00
飲食店近く,0,1,0.0000,5.00
